status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,_range_flag,age_group,credit_amount_per_duration,credit_per_person
no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",254.13333333333333,3812.0
no checking account,11,critical account/other credits existing,domestic appliances,1154,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,no,yes,1,False,"(50, 60]",104.9090909090909,1154.0
... < 100 DM,12,existing credits paid back duly till now,radio/television,1657,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,27,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",138.08333333333334,1657.0
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1603,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee/official,1,no,yes,1,False,"(50, 60]",66.79166666666667,1603.0
... < 100 DM,18,critical account/other credits existing,car (new),5302,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",294.55555555555554,5302.0
no checking account,12,critical account/other credits existing,retraining,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled - resident,1,no,yes,1,False,"(50, 60]",229.0,2748.0
no checking account,10,critical account/other credits existing,car (new),1231,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,32,none,own,2,unskilled - resident,2,no,no,1,False,"(30, 40]",123.1,615.5
0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,802,... < 100 DM,... >= 7 years,4,male : single,none,3,car or other,37,none,own,1,skilled employee/official,2,no,yes,0,True,"(30, 40]",53.46666666666667,401.0
no checking account,36,critical account/other credits existing,others,6304,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,no,yes,1,False,"(30, 40]",175.11111111111111,6304.0
no checking account,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",63.875,1533.0
... < 100 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,male : divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,0,True,"(40, 50]",641.2857142857143,8978.0
no checking account,24,existing credits paid back duly till now,domestic appliances,999,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",41.625,999.0
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,no,1,False,"(30, 40]",147.88888888888889,2662.0
no checking account,12,critical account/other credits existing,radio/television,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",116.83333333333333,1402.0
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,4,male : single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",253.52083333333334,12169.0
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee/official,1,no,yes,0,True,"(18, 30]",63.75,3060.0
... < 100 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled - resident,1,yes,yes,0,True,"(30, 40]",399.93333333333334,11998.0
no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee/official,2,no,yes,1,False,"(30, 40]",299.6666666666667,1348.5
no checking account,18,critical account/other credits existing,domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",133.55555555555554,2404.0
... < 100 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/no savings account,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1,False,"(40, 50]",105.16666666666667,1262.0
no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0,True,"(30, 40]",768.5,4611.0
no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(18, 30]",79.20833333333333,1901.0
no checking account,15,critical account/other credits existing,car (used),3368,... >= 1000 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,yes,yes,1,False,"(18, 30]",224.53333333333333,3368.0
no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee/official,1,no,yes,1,False,"(40, 50]",131.16666666666666,1574.0
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,49,bank,own,1,unskilled - resident,1,no,yes,1,False,"(40, 50]",80.27777777777777,1445.0
no checking account,15,critical account/other credits existing,radio/television,1520,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,no,yes,1,False,"(60, 100]",101.33333333333333,1520.0
0 <= ... < 200 DM,24,critical account/other credits existing,car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",161.58333333333334,3878.0
... < 100 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1,False,"(30, 40]",228.12765957446808,10722.0
... < 100 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,no,yes,1,False,"(18, 30]",99.75,2394.0
0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",157.95833333333334,7582.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,1,False,"(40, 50]",91.0,1092.0
... < 100 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,no,yes,0,True,"(40, 50]",42.666666666666664,1024.0
no checking account,12,existing credits paid back duly till now,others,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,1,False,"(18, 30]",89.66666666666667,1076.0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,male : married/widowed,none,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(18, 30]",261.05555555555554,9398.0
... < 100 DM,24,critical account/other credits existing,car (used),6419,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,False,"(40, 50]",267.4583333333333,3209.5
... >= 200 DM / salary for at least 1 year,42,critical account/other credits existing,car (used),4796,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,no,yes,1,False,"(50, 60]",114.19047619047619,4796.0
no checking account,48,critical account/other credits existing,others,7629,unknown/no savings account,... >= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/officer,2,no,yes,1,False,"(40, 50]",158.9375,3814.5
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,9960,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,yes,yes,0,True,"(18, 30]",207.5,9960.0
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",389.5833333333333,4675.0
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,no,no,1,False,"(40, 50]",128.7,1287.0
no checking account,18,existing credits paid back duly till now,radio/television,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,1,False,"(40, 50]",139.72222222222223,2515.0
0 <= ... < 200 DM,21,critical account/other credits existing,radio/television,2745,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,yes,yes,1,False,"(30, 40]",130.71428571428572,2745.0
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,1,False,"(50, 60]",112.0,672.0
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,domestic appliances,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,yes,yes,0,True,"(40, 50]",105.66666666666667,3804.0
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,car (new),1344,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,0,True,"(30, 40]",56.0,672.0
... < 100 DM,10,critical account/other credits existing,car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,1,False,"(40, 50]",103.8,1038.0
no checking account,48,critical account/other credits existing,car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,no,yes,0,True,"(40, 50]",210.97916666666666,10127.0
no checking account,6,existing credits paid back duly till now,radio/television,1543,... >= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",257.1666666666667,1543.0
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",160.36666666666667,4811.0
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,727,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown/no property,33,none,own,1,unskilled - resident,1,yes,yes,0,True,"(30, 40]",60.583333333333336,727.0
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,no,yes,0,True,"(18, 30]",154.625,1237.0
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",30.666666666666668,276.0
0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,5381,unknown/no savings account,unemployed,3,male : single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled - non-resident,1,yes,yes,1,False,"(30, 40]",112.10416666666667,5381.0
no checking account,24,existing credits paid back duly till now,radio/television,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",229.625,5511.0
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",156.20833333333334,3749.0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,no,yes,0,True,"(18, 30]",57.083333333333336,685.0
... >= 200 DM / salary for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,... < 1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,1,False,"(18, 30]",373.5,747.0
... < 100 DM,36,all credits at this bank paid back duly,radio/television,2746,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,31,bank,own,1,skilled employee/official,1,no,yes,0,True,"(30, 40]",76.27777777777777,2746.0
... < 100 DM,12,existing credits paid back duly till now,radio/television,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,no,yes,1,False,"(30, 40]",59.0,354.0
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1,False,"(40, 50]",181.29166666666666,4351.0
no checking account,12,critical account/other credits existing,retraining,701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,no,yes,1,False,"(30, 40]",58.416666666666664,701.0
... < 100 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,no,yes,1,False,"(18, 30]",242.86666666666667,3643.0
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),4249,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,True,"(18, 30]",141.63333333333333,4249.0
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0,True,"(30, 40]",80.75,1938.0
... < 100 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",121.25,2910.0
... < 100 DM,18,existing credits paid back duly till now,radio/television,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",147.72222222222223,2659.0
no checking account,18,critical account/other credits existing,car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,no,yes,1,False,"(30, 40]",57.111111111111114,1028.0
... < 100 DM,8,critical account/other credits existing,car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,1,False,"(30, 40]",424.75,3398.0
no checking account,12,critical account/other credits existing,radio/television,5801,unknown/no savings account,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,1,False,"(40, 50]",483.4166666666667,5801.0
no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,yes,yes,1,False,"(30, 40]",63.541666666666664,762.5
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,31,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",124.25,4473.0
0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,28,none,own,1,skilled employee/official,2,no,yes,1,False,"(18, 30]",178.0,534.0
... < 100 DM,24,critical account/other credits existing,car (used),6615,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(60, 100]",275.625,6615.0
no checking account,18,critical account/other credits existing,retraining,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,no,yes,0,True,"(18, 30]",103.55555555555556,1864.0
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,True,"(18, 30]",123.46666666666667,7408.0
no checking account,48,critical account/other credits existing,car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,no,yes,0,True,"(18, 30]",241.45833333333334,11590.0
... < 100 DM,24,no credits taken/all credits paid back duly,radio/television,4110,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,no,yes,0,True,"(18, 30]",171.25,2055.0
... < 100 DM,6,critical account/other credits existing,radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(40, 50]",564.0,3384.0
0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",161.6153846153846,2101.0
... < 100 DM,15,existing credits paid back duly till now,repairs,1275,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,no,yes,0,True,"(18, 30]",85.0,1275.0
... < 100 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",173.70833333333334,4169.0
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,no,yes,1,False,"(30, 40]",152.1,1521.0
0 <= ... < 200 DM,24,critical account/other credits existing,retraining,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,yes,yes,1,False,"(18, 30]",239.29166666666666,5743.0
... < 100 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,no,yes,1,False,"(18, 30]",171.38095238095238,3599.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM,... < 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",178.5,3213.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,4439,... < 100 DM,... >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",246.61111111111111,4439.0
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male : single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,no,yes,1,False,"(30, 40]",394.9,1974.5
no checking account,15,critical account/other credits existing,domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,no,yes,1,False,"(40, 50]",97.26666666666667,1459.0
0 <= ... < 200 DM,13,critical account/other credits existing,domestic appliances,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",67.84615384615384,882.0
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,1,False,"(18, 30]",156.58333333333334,3758.0
no checking account,6,delay in paying off in the past,others,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,1,False,"(30, 40]",290.5,1743.0
0 <= ... < 200 DM,9,critical account/other credits existing,retraining,1136,... >= 1000 DM,... >= 7 years,4,male : single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,no,yes,0,True,"(30, 40]",126.22222222222223,568.0
no checking account,9,existing credits paid back duly till now,repairs,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes,1,False,"(18, 30]",137.33333333333334,1236.0
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee/official,1,no,no,0,True,"(18, 30]",106.55555555555556,959.0
no checking account,18,critical account/other credits existing,car (used),3229,unknown/no savings account,unemployed,2,male : single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(30, 40]",179.38888888888889,3229.0
... < 100 DM,12,no credits taken/all credits paid back duly,domestic appliances,6199,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,yes,yes,0,True,"(18, 30]",516.5833333333334,6199.0
no checking account,10,existing credits paid back duly till now,retraining,727,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,yes,yes,1,False,"(40, 50]",72.7,727.0
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,0,True,"(18, 30]",51.916666666666664,1246.0
no checking account,12,critical account/other credits existing,domestic appliances,2331,unknown/no savings account,... >= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes,1,False,"(40, 50]",194.25,2331.0
no checking account,36,delay in paying off in the past,domestic appliances,4463,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(18, 30]",123.97222222222223,4463.0
no checking account,12,existing credits paid back duly till now,domestic appliances,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",64.66666666666667,776.0
... < 100 DM,30,existing credits paid back duly till now,radio/television,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0,True,"(18, 30]",80.2,2406.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,retraining,1239,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,no,yes,1,False,"(60, 100]",68.83333333333333,1239.0
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3399,unknown/no savings account,... >= 7 years,2,male : single,none,3,car or other,37,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,False,"(30, 40]",283.25,3399.0
... >= 200 DM / salary for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee/official,1,yes,yes,1,False,"(30, 40]",187.25,2247.0
no checking account,6,existing credits paid back duly till now,radio/television,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",294.3333333333333,1766.0
... < 100 DM,18,existing credits paid back duly till now,radio/television,2473,... < 100 DM,unemployed,4,male : single,none,1,car or other,25,none,own,1,unemployed/unskilled - non-resident,1,no,yes,0,True,"(18, 30]",137.38888888888889,2473.0
no checking account,12,existing credits paid back duly till now,others,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,36,none,own,1,skilled employee/official,1,yes,yes,1,False,"(30, 40]",128.5,1542.0
no checking account,18,critical account/other credits existing,car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,27,none,own,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",213.88888888888889,3850.0
... < 100 DM,18,existing credits paid back duly till now,radio/television,3650,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee/official,1,no,yes,1,False,"(18, 30]",202.77777777777777,3650.0
... < 100 DM,36,existing credits paid back duly till now,radio/television,3446,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,42,none,own,1,skilled employee/official,2,no,yes,0,True,"(40, 50]",95.72222222222223,1723.0
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3001,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",166.72222222222223,3001.0
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1,False,"(30, 40]",85.52777777777777,3079.0
no checking account,18,critical account/other credits existing,domestic appliances,6070,... < 100 DM,... >= 7 years,3,male : single,none,4,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1,False,"(30, 40]",337.22222222222223,6070.0
no checking account,10,critical account/other credits existing,radio/television,2146,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee/official,1,no,yes,1,False,"(18, 30]",214.6,2146.0
no checking account,60,critical account/other credits existing,car (new),13756,unknown/no savings account,... >= 7 years,2,male : single,none,4,unknown/no property,63,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,False,"(60, 100]",229.26666666666668,13756.0
0 <= ... < 200 DM,60,all credits at this bank paid back duly,furniture/equipment,14782,100 <= ... < 500 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown/no property,60,bank,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,True,"(50, 60]",246.36666666666667,14782.0
... < 100 DM,48,all credits at this bank paid back duly,others,7685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee/official,1,no,yes,0,True,"(30, 40]",160.10416666666666,7685.0
